dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,weather_label
2011-01-01,1,0,1,0,0,6,0,1,0.22448979591836735,0.81,0.0,3,13,16,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,1,0,6,0,1,0.20408163265306123,0.8,0.0,8,32,40,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,2,0,6,0,1,0.20408163265306123,0.8,0.0,5,27,32,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,3,0,6,0,1,0.22448979591836735,0.75,0.0,3,10,13,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,4,0,6,0,1,0.22448979591836735,0.75,0.0,0,1,1,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,5,0,6,0,2,0.22448979591836735,0.75,0.10532502644880687,0,1,1,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,6,0,6,0,1,0.20408163265306123,0.8,0.0,2,0,2,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,7,0,6,0,1,0.1836734693877551,0.86,0.0,1,2,3,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,8,0,6,0,1,0.22448979591836735,0.75,0.0,1,7,8,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
2011-01-01,1,0,1,9,0,6,0,1,0.30612244897959184,0.76,0.0,8,6,14,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Berawan
